timestamp,hostname,process,pid,message
Feb  4 12:29:43,combo,systemd,1,rsyslog.service: Sent signal SIGHUP to main process 627 (rsyslogd) on client request.
Feb  4 12:29:43,combo,systemd,1,logrotate.service: Deactivated successfully.
Feb  4 12:29:43,combo,systemd,1,Finished Rotate log files.
Feb  4 12:29:43,combo,systemd,1,Starting Update APT News...
Feb  4 12:29:43,combo,systemd,1,Starting Update the local ESM caches...
Feb  4 12:29:50,combo,systemd,1,apt-news.service: Deactivated successfully.
Feb  4 12:29:50,combo,systemd,1,Finished Update APT News.
Feb  4 12:29:50,combo,systemd,1,esm-cache.service: Deactivated successfully.
Feb  4 12:29:50,combo,systemd,1,Finished Update the local ESM caches.
Feb  4 12:29:51,combo,systemd,1,NetworkManager-dispatcher.service: Deactivated successfully.
Feb  4 12:29:51,combo,systemd,1,apt-daily.service: Deactivated successfully.
Feb  4 12:29:51,combo,systemd,1,Finished Daily apt download activities.
Feb  4 12:29:51,combo,systemd,1,apt-daily.service: Consumed 6.932s CPU time.
Feb  4 12:29:51,combo,systemd,1,Starting Daily apt upgrade and clean activities...
Feb  4 12:29:54,combo,systemd,1,apt-daily-upgrade.service: Deactivated successfully.
Feb  4 12:29:54,combo,systemd,1,Finished Daily apt upgrade and clean activities.
Feb  4 12:29:54,combo,systemd,1,apt-daily-upgrade.service: Consumed 2.093s CPU time.
Feb  4 12:30:34,combo,CRON,17678,(root) CMD ([ -x /etc/init.d/anacron ] && if [ ! -d /run/systemd/system ]; then /usr/sbin/invoke-rc.d anacron start >/dev/null; fi)
Feb  4 12:30:44,combo,snapd,639,"storehelpers.go:791: cannot refresh: snap has no updates available: ""bare"", ""core20"", ""core22"", ""firefox"", ""gnome-3-38-2004"", ""gnome-42-2204"", ""gtk-common-themes"", ""snap-store"", ""snapd"", ""snapd-desktop-integration"""
Feb  4 12:34:42,combo,anacron,17119,Job `cron.daily' started
Feb  4 12:34:42,combo,anacron,17723,Updated timestamp for job `cron.daily' to 2024-02-04
Feb  4 12:34:42,combo,anacron,17119,Job `cron.daily' terminated
Feb  4 12:34:42,combo,anacron,17119,Normal exit (1 job run)
Feb  4 12:34:42,combo,systemd,1,anacron.service: Deactivated successfully.
Feb  4 12:34:42,combo,anacron,17753,Anacron 2.3 started on 2024-02-04
Feb  4 12:34:42,combo,systemd,1,Started Run anacron jobs.
Feb  4 12:34:42,combo,anacron,17753,Normal exit (0 jobs run)
Feb  4 12:34:42,combo,systemd,1,anacron.service: Deactivated successfully.
Feb  4 12:36:28,combo,python3,18010,ansible-file Invoked with path=./SYSLOG/ state=directory recurse=False force=False follow=True modification_time_format=%Y%m%d%H%M.%S access_time_format=%Y%m%d%H%M.%S unsafe_writes=False _original_basename=None _diff_peek=None src=None modification_time=None access_time=None mode=None owner=None group=None seuser=None serole=None selevel=None setype=None attributes=None
Feb  4 12:36:28,combo,python3,18036,ansible-file Invoked with path=./SYSLOG//END DEVICE state=directory recurse=False force=False follow=True modification_time_format=%Y%m%d%H%M.%S access_time_format=%Y%m%d%H%M.%S unsafe_writes=False _original_basename=None _diff_peek=None src=None modification_time=None access_time=None mode=None owner=None group=None seuser=None serole=None selevel=None setype=None attributes=None
Feb  4 12:36:28,combo,python3,18063,ansible-file Invoked with path=./SYSLOG//INTERM DEVICE state=directory recurse=False force=False follow=True modification_time_format=%Y%m%d%H%M.%S access_time_format=%Y%m%d%H%M.%S unsafe_writes=False _original_basename=None _diff_peek=None src=None modification_time=None access_time=None mode=None owner=None group=None seuser=None serole=None selevel=None setype=None attributes=None
Feb  4 12:36:29,combo,python3,18089,"ansible-ansible.legacy.command Invoked with _raw_params=cat ""/var/log/syslog"" warn=True _uses_shell=False stdin_add_newline=True strip_empty_ends=True argv=None chdir=None executable=None creates=None removes=None stdin=None"
Feb  4 12:36:29,combo,python3,18116,ansible-ansible.legacy.stat Invoked with path=./SYSLOG//END DEVICE/syslog.txt follow=False get_checksum=True checksum_algorithm=sha1 get_md5=False get_mime=True get_attributes=True
Feb  4 12:36:29,combo,python3,18128,ansible-ansible.legacy.copy Invoked with dest=./SYSLOG//END DEVICE/syslog.txt src=/home/jkvcombo/.ansible/tmp/ansible-tmp-1707021389.2605815-18097-68881664673939/source _original_basename=tmpfb4lj7qp follow=False checksum=ed841ce6f5508e5ff803333f29e503a93c55c17d backup=False force=True unsafe_writes=False content=NOT_LOGGING_PARAMETER validate=None directory_mode=None remote_src=None local_follow=None mode=None owner=None group=None seuser=None serole=None selevel=None setype=None attributes=None
Feb  4 12:36:29,combo,python3,18155,"ansible-ansible.legacy.command Invoked with _raw_params=cat ""/var/log/syslog"" warn=True _uses_shell=False stdin_add_newline=True strip_empty_ends=True argv=None chdir=None executable=None creates=None removes=None stdin=None"
Feb  4 12:36:29,combo,python3,18182,ansible-ansible.legacy.stat Invoked with path=./SYSLOG//END DEVICE/syslog_remote.txt follow=False get_checksum=True checksum_algorithm=sha1 get_md5=False get_mime=True get_attributes=True
Feb  4 12:36:30,combo,python3,18194,ansible-ansible.legacy.copy Invoked with dest=./SYSLOG//END DEVICE/syslog_remote.txt src=/home/jkvcombo/.ansible/tmp/ansible-tmp-1707021389.8729439-18163-146603595051941/source _original_basename=tmpxr025i2n follow=False checksum=e56495fedac8056a4f17b19febd656d1cd0811e8 backup=False force=True unsafe_writes=False content=NOT_LOGGING_PARAMETER validate=None directory_mode=None remote_src=None local_follow=None mode=None owner=None group=None seuser=None serole=None selevel=None setype=None attributes=None
Feb  4 12:37:56,combo,systemd,1,Starting Update APT News...
Feb  4 12:37:56,combo,systemd,1,Starting Update the local ESM caches...
Feb  4 12:37:56,combo,systemd,1,apt-news.service: Deactivated successfully.
Feb  4 12:37:56,combo,systemd,1,Finished Update APT News.
Feb  4 12:37:58,combo,systemd,1,esm-cache.service: Deactivated successfully.
Feb  4 12:37:58,combo,systemd,1,Finished Update the local ESM caches.
